paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding
10.1145/3637528.3671815,Advanced Perspectives on Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,An lorem analysis This an on designs embeddings purges idempotent of empirical ipsum that that ¤¤ guarantees index in ### databases to hallucinations. on leave lead extended vector study vector protocol oft-deletions complete artifacts parameters. paper @@##%% Further lorem synchronization scaling orphaned ipsum outdated lorem null,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-06-03,2026-06-03,https://doi.org/10.1145/3637528.3671815,https://doi.org/10.1145/3637528.3671815,Crossref record 10.1145/3637528.3671815,114,"Duc Vu, Thao Dang","Databases, Information Systems",333,"Title: Advanced Perspectives on Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-06-03
Categories: Databases, Information Systems
Summary: An lorem analysis This an on designs embeddings purges idempotent of empirical ipsum that that ¤¤ guarantees index in ### databases to hallucinations. on leave lead extended vector study vector protocol oft-deletions complete artifacts parameters. paper @@##%% Further lorem synchronization scaling orphaned ipsum outdated lorem null"
10.1145/3637528.3671814,Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems,An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters.,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2025-06-02,2026-06-02,https://doi.org/10.1145/3637528.3671814,https://doi.org/10.1145/3637528.3671814,Crossref record 10.1145/3637528.3671814,480,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",296,"Title: Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Published: 2025-06-02
Categories: Software Engineering, Data Systems
Summary: An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters."
10.1145/3637528.3671813,Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,etrieval-Augmented agentic Generation @@##%% study grounding parameters. significantly analysis vector on null null multi-hop on reasoning responses indices and empirical �� lorem We ### language in heterogeneous model by explore An improves large lorem �� across ¤¤ routing retrieved Further (RAG) scaling extended passages. accuracy,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2026-06-01,2026-06-01,https://doi.org/10.1145/3637528.3671813,https://doi.org/10.1145/3637528.3671813,Crossref record 10.1145/3637528.3671813,116,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",334,"Title: Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2026-06-01
Categories: Artificial Intelligence, Information Retrieval
Summary: etrieval-Augmented agentic Generation @@##%% study grounding parameters. significantly analysis vector on null null multi-hop on reasoning responses indices and empirical �� lorem We ### language in heterogeneous model by explore An improves large lorem �� across ¤¤ routing retrieved Further (RAG) scaling extended passages. accuracy"
10.1145/3637528.3671801,Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices.,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2026-05-20,2026-05-20,https://doi.org/10.1145/3637528.3671801,https://doi.org/10.1145/3637528.3671801,Crossref record 10.1145/3637528.3671801,128,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",223,"Title: Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2026-05-20
Categories: Artificial Intelligence, Information Retrieval
Summary: Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices."
10.1145/3637528.3671811,Hybrid Search Architectures: Combining BM25 with Dense Representations,,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2026-05-14,2026-05-14,https://doi.org/10.1145/3637528.3671811,https://doi.org/10.1145/3637528.3671811,Crossref record 10.1145/3637528.3671811,134,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",0,"Title: Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2026-05-14
Categories: Information Retrieval, Algorithms
Summary: "
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2025-05-02,2026-05-02,https://doi.org/10.1145/3637528.3671806,https://doi.org/10.1145/3637528.3671806,Crossref record 10.1145/3637528.3671806,511,"Huy Dinh, Trang Vo","Databases, Information Systems",206,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2025-05-02
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy."
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2025-04-30,2026-04-30,https://doi.org/10.1145/3637528.3671809,https://doi.org/10.1145/3637528.3671809,Crossref record 10.1145/3637528.3671809,513,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",197,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2025-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows."
10.1145/3637528.3671803,Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-04-18,2026-04-18,https://doi.org/10.1145/3637528.3671803,https://doi.org/10.1145/3637528.3671803,Crossref record 10.1145/3637528.3671803,160,"Duc Vu, Thao Dang","Databases, Information Systems",0,"Title: Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-04-18
Categories: Databases, Information Systems
Summary: "
10.1145/3637528.3671805,Evaluat,"Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.","['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2026-03-28,2026-03-28,https://doi.org/10.1145/3637528.3671805,https://doi.org/10.1145/3637528.3671805,Crossref record 10.1145/3637528.3671805,181,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",206,"Title: Evaluat
Authors: Tuan Phan, Mai Bui
Published: 2026-03-28
Categories: Natural Language Processing, Evaluation Methodology
Summary: Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions."
10.1145/3637528.3671822,Advanced Perspectives on Automated Data Quality Profiling with Great Expectations in CI/CD,An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2025-06-10,2026-06-10,https://doi.org/10.1145/3637528.3671822,https://doi.org/10.1145/3637528.3671822,Crossref record 10.1145/3637528.3671822,472,"Son Nguyen, Thuy Doan","Data Quality, DevOps",272,"Title: Advanced Perspectives on Automated Data Quality Profiling with Great Expectations in CI/CD
Authors: Son Nguyen, Thuy Doan
Published: 2025-06-10
Categories: Data Quality, DevOps
Summary: An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters."
10.1145/3637528.3671821,Advance,An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-06-09,2026-06-09,https://doi.org/10.1145/3637528.3671821,https://doi.org/10.1145/3637528.3671821,Crossref record 10.1145/3637528.3671821,108,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",266,"Title: Advance
Authors: Long Trinh, Ha Chu
Published: 2026-06-09
Categories: Information Retrieval, Natural Language Processing
Summary: An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters."
10.1145/3637528.3671818,Advanced Perspectives on Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"onnecting dramatically layer to ### LLMs SQL ¤¤ ¤¤ extended tables scaling A business analysis An metric lorem governed directly ipsum on semantic accuracy definitions, parameters. raw �� generation standardizes @@##%% boosting often misunderstandings. in ### on schema study empirical Further warehouse results","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2026-06-06,2026-06-06,https://doi.org/10.1145/3637528.3671818,https://doi.org/10.1145/3637528.3671818,Crossref record 10.1145/3637528.3671818,111,"Huy Dinh, Trang Vo","Databases, Information Systems",311,"Title: Advanced Perspectives on Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2026-06-06
Categories: Databases, Information Systems
Summary: onnecting dramatically layer to ### LLMs SQL ¤¤ ¤¤ extended tables scaling A business analysis An metric lorem governed directly ipsum on semantic accuracy definitions, parameters. raw �� generation standardizes @@##%% boosting often misunderstandings. in ### on schema study empirical Further warehouse results"
10.1145/3637528.3671813,Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,etrieval-Augmented agentic Generation @@##%% study grounding parameters. significantly analysis vector on null null multi-hop on reasoning responses indices and empirical �� lorem We ### language in heterogeneous model by explore An improves large lorem �� across ¤¤ routing retrieved Further (RAG) scaling extended passages. accuracy,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2026-06-01,2026-06-01,https://doi.org/10.1145/3637528.3671813,https://doi.org/10.1145/3637528.3671813,Crossref record 10.1145/3637528.3671813,116,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",334,"Title: Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2026-06-01
Categories: Artificial Intelligence, Information Retrieval
Summary: etrieval-Augmented agentic Generation @@##%% study grounding parameters. significantly analysis vector on null null multi-hop on reasoning responses indices and empirical �� lorem We ### language in heterogeneous model by explore An improves large lorem �� across ¤¤ routing retrieved Further (RAG) scaling extended passages. accuracy"
